,Product_id,manufacturer,Device Type,Status,Warranty_id,Warranty_price,org_price,last_month_price,Color,Weight,Processor Manufacturer,Processor Series,Processor Model,Processor Cache Memory,RAM Memory,Screen Size,Screen Type,Optical Drive,RAM Type,Internal Memory Type,Operating System,Graphics Card Manufacturer,Graphics Card Model,Battery Cell Count
994,4496,لنوو,IdeaPad,out_of_stock,,,,0,,2.4,Intel,Corei5,2430M,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT525M,شش سلولی
995,67441,اچ‌ پی,,out_of_stock,,,,0,,2.5,Intel,Pentium,N3510,2,2,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,Intel,HDGraphics,چهار سلولی
996,64724,لنوو,Essential,out_of_stock,,,,0,,2.5,Intel,Pentium,N3540,2,2,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,Intel,HDGraphics,چهار سلولی
997,62802,اچ‌ پی,,out_of_stock,,,,0,,2.5,Intel,Celeron,2840,یک,2,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,Intel,HDGraphics,چهار سلولی
998,62813,اچ‌ پی,,out_of_stock,,,,0,,2.5,Intel,Corei5,4210U,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT820M,چهار سلولی
999,68179,لنوو,,out_of_stock,,,,0,,2.5,Intel,Corei3,4030U,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,Intel,HDGraphics,چهار سلولی
1000,343485,ایسوس,ZenBook,out_of_stock,,,,0,,1.4,Intel,Corei7,7500U,4,8,14.0,178°wide-view technology,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,Microsoft Windows 10,NVIDIA,GeForce940MXGDDR3,سه سلولی
1001,343871,ایسوس,VivoBook,out_of_stock,,,,0,,1.8,Intel,Corei7,7500U,4,8,14.0,TFT LED-backlit LCD,DVD-RW,DDR4,هارددیسک,,NVIDIA,GeForce940MXGDDR5,دو سلولی
1002,284385,دل,Inspiron,out_of_stock,,,,0,,2.3,Intel,Corei5,7200U,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR4,هارددیسک,بدون سیستم عامل,ATI,RadeonR7M445GDDR5,سه سلولی
1003,302511,ایسوس,ROG,out_of_stock,,,,0,,2.5,Intel,Corei7,7700HQ,6,24,15.6,178°wide-view technology,DVD-RW,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForceGTX1050DDR5,چهار سلولی
1004,303585,لنوو,H,out_of_stock,,,,0,,2.1,Intel,Corei3,6006U,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR4,هارددیسک,,Intel,HDGraphics520,چهار سلولی
1005,304260,ایسر,Aspire,out_of_stock,,,,0,,2.5,Intel,Corei7,7700HQ,6,16,15.6,IPS LED-backlit LCD,بدون درایو نوری,DDR4,حافظه‌های هیبریدی,بدون سیستم عامل,NVIDIA,GeForceGTX1060GDDR5,چهار سلولی
1006,292128,لنوو,Ideapad,out_of_stock,,,,0,,2.0,Intel,Corei7,7500U,4,8,15.6,TFT LED-backlit LCD,DVD-RW,DDR4,هارددیسک,,AMD,RadeonR5M430,چهار سلولی
